customer_id,signup_date,channel,location
C00001,3/31/2023,email,danang
C00002,2/16/2025,paid_search,hcmc
C00003,10/19/2024,paid_search,hcmc
C00004,3/16/2024,organic,hcmc
C00005,3/10/2024,organic,hcmc
C00006,5/12/2025,organic,taipei
C00007,3/28/2023,referral,hcmc
C00008,12/1/2024,paid_search,taipei
C00009,7/22/2023,email,taipei
C00010,4/5/2023,social,hcmc
C00011,6/12/2024,social,hanoi
C00012,9/6/2025,paid_search,danang
C00013,1/8/2025,social,hcmc
C00014,2/3/2025,social,hcmc
C00015,12/21/2024,paid_search,danang
C00016,2/28/2025,paid_search,taipei
C00017,5/30/2024,paid_search,hcmc
C00018,5/9/2023,social,hanoi
C00019,4/23/2025,organic,hcmc
C00020,3/28/2024,social,taipei
C00021,5/17/2024,referral,hcmc
C00022,1/8/2024,organic,hcmc
C00023,7/3/2023,email,hanoi
C00024,7/19/2025,social,danang
C00025,2/23/2025,social,taipei
C00026,10/8/2024,social,hcmc
C00027,2/9/2024,email,hcmc
C00028,4/6/2025,organic,danang
C00029,7/1/2024,organic,danang
C00030,3/21/2024,email,hcmc
C00031,3/28/2024,paid_search,hanoi
C00032,8/17/2023,paid_search,hcmc
C00033,4/3/2023,referral,hcmc
C00034,7/10/2024,social,hcmc
C00035,6/10/2025,paid_search,hcmc
C00036,3/6/2023,organic,hcmc
C00037,5/11/2025,paid_search,taipei
C00038,4/10/2025,social,hcmc
C00039,10/5/2023,paid_search,hcmc
C00040,9/26/2024,social,hcmc
C00041,6/15/2023,social,hcmc
C00042,1/31/2025,paid_search,hcmc
C00043,12/4/2024,paid_search,hanoi
C00044,12/22/2023,organic,hcmc
C00045,3/10/2023,social,hanoi
C00046,9/1/2025,organic,danang
C00047,3/23/2024,social,hcmc
C00048,6/15/2025,referral,danang
C00049,11/11/2024,paid_search,danang
C00050,2/20/2025,referral,taipei
C00051,2/1/2025,paid_search,hanoi
C00052,7/15/2023,email,hanoi
C00053,1/1/2024,paid_search,hanoi
C00054,4/13/2024,email,hanoi
C00055,5/14/2024,organic,hcmc
