customer_id,signup_date,channel,location
C00001,2023-03-31,email,danang
C00002,2025-02-16,paid_search,hcmc
C00003,2024-10-19,paid_search,hcmc
C00004,2024-03-16,organic,hcmc
C00005,2024-03-10,organic,hcmc
C00006,2025-05-12,organic,taipei
C00007,2023-03-28,referral,hcmc
C00008,2024-12-01,paid_search,taipei
C00009,2023-07-22,email,taipei
C00010,2023-04-05,social,hcmc
C00011,2024-06-12,social,hanoi
C00012,2025-09-06,paid_search,danang
C00013,2025-01-08,social,hcmc
C00014,2025-02-03,social,hcmc
C00015,2024-12-21,paid_search,danang
C00016,2025-02-28,paid_search,taipei
C00017,2024-05-30,paid_search,hcmc
C00018,2023-05-09,social,hanoi
C00019,2025-04-23,organic,hcmc
C00020,2024-03-28,social,taipei
C00021,2024-05-17,referral,hcmc
C00022,2024-01-08,organic,hcmc
C00023,2023-07-03,email,hanoi
C00024,2025-07-19,social,danang
C00025,2025-02-23,social,taipei
C00026,2024-10-08,social,hcmc
C00027,2024-02-09,email,hcmc
C00028,2025-04-06,organic,danang
C00029,2024-07-01,organic,danang
C00030,2024-03-21,email,hcmc
C00031,2024-03-28,paid_search,hanoi
C00032,2023-08-17,paid_search,hcmc
C00033,2023-04-03,referral,hcmc
C00034,2024-07-10,social,hcmc
C00035,2025-06-10,paid_search,hcmc
C00036,2023-03-06,organic,hcmc
C00037,2025-05-11,paid_search,taipei
C00038,2025-04-10,social,hcmc
C00039,2023-10-05,paid_search,hcmc
C00040,2024-09-26,social,hcmc
C00041,2023-06-15,social,hcmc
C00042,2025-01-31,paid_search,hcmc
C00043,2024-12-04,paid_search,hanoi
C00044,2023-12-22,organic,hcmc
C00045,2023-03-10,social,hanoi
C00046,2025-09-01,organic,danang
C00047,2024-03-23,social,hcmc
C00048,2025-06-15,referral,danang
C00049,2024-11-11,paid_search,danang
C00050,2025-02-20,referral,taipei
C00051,2025-02-01,paid_search,hanoi
C00052,2023-07-15,email,hanoi
C00053,2024-01-01,paid_search,hanoi
C00054,2024-04-13,email,hanoi
C00055,2024-05-14,organic,hcmc
C00056,2023-02-13,organic,danang
C00057,2024-07-02,referral,hanoi
C00058,2023-06-04,email,taipei
C00059,2025-01-16,organic,hcmc
C00060,2024-11-16,referral,hcmc
C00061,2025-07-15,paid_search,hcmc
C00062,2025-01-17,social,hcmc
C00063,2024-01-04,social,hcmc
C00064,2025-08-29,email,hcmc
C00065,2024-02-17,social,hcmc
C00066,2023-11-24,referral,hcmc
C00067,2025-06-28,paid_search,hcmc
C00068,2024-01-07,paid_search,danang
C00069,2023-03-18,social,hcmc
C00070,2024-04-16,referral,hcmc
C00071,2025-03-09,organic,hcmc
C00072,2023-07-10,organic,hcmc
C00073,2024-04-09,social,hcmc
C00074,2023-05-11,social,hanoi
C00075,2024-11-20,social,danang
C00076,2024-04-22,social,hcmc
C00077,2023-11-28,email,hanoi
C00078,2023-08-16,social,hcmc
C00079,2024-07-20,referral,hcmc
C00080,2024-11-03,social,hcmc
C00081,2025-08-02,organic,hcmc
C00082,2024-03-14,social,hanoi
