order_id,customer_id,order_date,net_revenue,margin_pct,location,channel,order_hour,order_day_of_week_monday_first,order_day_name
O0000001,C04815,2023-01-01,237.75,0.338,Hcmc,referral,21,7,Sunday
O0000002,C02143,2023-01-01,127.9,0.313,Danang,social,13,7,Sunday
O0000003,C04312,2023-01-01,170.3,0.413,Hcmc,email,20,7,Sunday
O0000004,C03676,2023-01-01,165.3,0.351,Hcmc,email,20,7,Sunday
O0000005,C00614,2023-01-01,219.02,0.321,Taipei,paid_search,13,7,Sunday
O0000006,C00813,2023-01-01,201.79,0.319,Hanoi,paid_search,21,7,Sunday
O0000007,C01672,2023-01-01,161.05,0.45,Hcmc,social,20,7,Sunday
O0000008,C02825,2023-01-01,193.98,0.353,Hcmc,organic,20,7,Sunday
O0000009,C02369,2023-01-01,153.47,0.267,Hanoi,social,20,7,Sunday
O0000010,C00784,2023-01-01,307.6,0.294,Hcmc,paid_search,20,7,Sunday
O0000011,C02497,2023-01-01,154.93,0.25,Hcmc,social,20,7,Sunday
O0000012,C04118,2023-01-01,151.07,0.406,Hcmc,email,20,7,Sunday
O0000013,C02327,2023-01-01,119.48,0.309,Hanoi,social,14,7,Sunday
O0000014,C04953,2023-01-01,227.6,0.45,Hanoi,referral,13,7,Sunday
O0000015,C01044,2023-01-01,128.45,0.262,Hcmc,paid_search,15,7,Sunday
O0000016,C03284,2023-01-01,174.72,0.314,Hanoi,organic,20,7,Sunday
O0000017,C01941,2023-01-01,253.12,0.35,Hcmc,social,14,7,Sunday
O0000018,C03455,2023-01-01,216.39,0.313,Hcmc,organic,20,7,Sunday
O0000019,C03118,2023-01-01,165.42,0.377,Danang,organic,15,7,Sunday
O0000020,C04455,2023-01-01,174.29,0.299,Hanoi,referral,22,7,Sunday
O0000021,C01058,2023-01-01,210.01,0.441,Hcmc,paid_search,19,7,Sunday
O0000022,C03808,2023-01-01,304.25,0.326,Hcmc,email,14,7,Sunday
O0000023,C02940,2023-01-01,149.28,0.383,Hcmc,organic,21,7,Sunday
O0000024,C03174,2023-01-01,240.9,0.322,Hanoi,organic,13,7,Sunday
O0000025,C02561,2023-01-01,217.27,0.267,Taipei,organic,21,7,Sunday
O0000026,C02596,2023-01-01,199.99,0.37,Danang,organic,16,7,Sunday
O0000027,C01318,2023-01-01,221.0,0.353,Hanoi,social,20,7,Sunday
O0000028,C04253,2023-01-01,239.84,0.271,Hcmc,email,14,7,Sunday
O0000029,C00718,2023-01-01,142.26,0.25,Hanoi,paid_search,20,7,Sunday
O0000030,C00402,2023-01-01,233.13,0.364,Hcmc,paid_search,21,7,Sunday
O0000031,C00993,2023-01-01,372.61,0.25,Hcmc,paid_search,22,7,Sunday
O0000032,C04045,2023-01-01,125.4,0.289,Hcmc,email,16,7,Sunday
O0000033,C00708,2023-01-01,162.77,0.37,Hanoi,paid_search,21,7,Sunday
O0000034,C02018,2023-01-01,171.38,0.25,Hcmc,social,21,7,Sunday
O0000035,C04050,2023-01-01,234.59,0.45,Hcmc,email,20,7,Sunday
O0000036,C01788,2023-01-01,221.34,0.445,Hcmc,social,21,7,Sunday
O0000037,C03758,2023-01-01,188.58,0.366,Hcmc,email,21,7,Sunday
O0000038,C01462,2023-01-01,176.28,0.423,Hcmc,social,14,7,Sunday
O0000039,C01377,2023-01-01,142.5,0.435,Hcmc,social,13,7,Sunday
O0000040,C03234,2023-01-01,132.63,0.27,Danang,organic,21,7,Sunday
O0000041,C04955,2023-01-01,210.42,0.45,Hcmc,referral,20,7,Sunday
O0000042,C00636,2023-01-01,282.42,0.45,Hcmc,paid_search,14,7,Sunday
O0000043,C01721,2023-01-01,157.73,0.31,Hcmc,social,22,7,Sunday
O0000044,C00031,2023-01-02,254.54,0.445,Hanoi,paid_search,14,1,Monday
O0000045,C04387,2023-01-02,170.16,0.315,Hcmc,referral,13,1,Monday
O0000046,C03645,2023-01-02,181.32,0.25,Hcmc,email,21,1,Monday
O0000047,C00015,2023-01-02,186.61,0.364,Danang,paid_search,20,1,Monday
O0000048,C02488,2023-01-02,154.32,0.415,Hcmc,social,16,1,Monday
O0000049,C01269,2023-01-02,161.56,0.359,Taipei,social,13,1,Monday
