order_id,customer_id,order_date,order_value
O0000001,C00001,9/18/2023,293.04
O0000002,C00001,2/15/2024,184.83
O0000003,C00001,3/23/2025,214.32
O0000004,C00002,11/16/2023,210.6
O0000005,C00002,2/27/2024,120.93
O0000006,C00002,6/5/2024,117.56
O0000007,C00002,12/11/2024,260.01
O0000008,C00003,11/24/2023,377.98
O0000009,C00003,9/14/2024,373.65
O0000010,C00003,2/24/2025,307.44
O0000011,C00004,11/25/2024,228.28
O0000012,C00004,2/7/2025,314.07
O0000013,C00004,2/13/2025,351.84
O0000014,C00004,3/31/2025,151.02
O0000015,C00004,9/15/2025,291.15
O0000016,C00005,7/11/2023,318.44
O0000017,C00005,3/15/2024,229.01
O0000018,C00005,9/28/2024,197.14
O0000019,C00005,5/9/2025,191.98
O0000020,C00006,4/22/2023,154.99
O0000021,C00006,8/12/2023,255.23
O0000022,C00006,6/18/2024,235.73
O0000023,C00007,11/13/2024,134.18
O0000024,C00007,4/4/2025,254.15
O0000025,C00007,6/28/2025,191.57
O0000026,C00007,11/21/2025,252.2
O0000027,C00008,2/18/2025,146.91
O0000028,C00009,5/13/2024,354.12
O0000029,C00010,12/22/2025,365.84
O0000030,C00011,2/22/2023,174.6
O0000031,C00011,6/27/2023,183.79
O0000032,C00011,4/17/2024,303.32
O0000033,C00011,1/2/2025,139.09
O0000034,C00011,12/12/2025,297.73
O0000035,C00012,8/30/2023,303.53
O0000036,C00013,4/28/2024,209.1
O0000037,C00014,3/23/2023,305.41
O0000038,C00014,9/30/2023,268.09
O0000039,C00014,7/23/2024,219.04
O0000040,C00014,8/30/2024,162.39
O0000041,C00014,11/5/2024,202.12
O0000042,C00014,12/24/2025,287.21
O0000043,C00015,2/7/2023,258.78
O0000044,C00015,3/4/2023,107.18
O0000045,C00015,1/3/2024,261.98
O0000046,C00015,2/24/2025,-117.87
O0000047,C00016,6/25/2025,279.09
O0000048,C00017,2/10/2023,360.92
O0000049,C00018,7/14/2023,300.21
O0000050,C00019,3/23/2025,216.16
O0000051,C00020,1/2/2025,152.31
O0000052,C00021,6/2/2025,246.49
O0000053,C00022,7/8/2025,175.52
O0000054,C00023,6/24/2023,188.44
O0000055,C00024,2/15/2025,268.82
O0000056,C00025,7/21/2024,219.27
O0000057,C00025,11/10/2025,299.09
O0000058,C00026,1/22/2025,242.51
O0000059,C00027,7/15/2023,183.09
O0000060,C00027,4/21/2024,146.44
O0000061,C00027,9/16/2024,209.2
O0000062,C00028,2/13/2023,113.94
O0000063,C00028,2/25/2023,217.35
O0000064,C00028,6/4/2023,207.68
