order_id,customer_id,order_date,order_value
O0000001,C00001,2023-09-18,293.04
O0000002,C00001,2024-02-15,184.83
O0000003,C00001,2025-03-23,214.32
O0000004,C00002,2023-11-16,210.6
O0000005,C00002,2024-02-27,120.93
O0000006,C00002,2024-06-05,117.56
O0000007,C00002,2024-12-11,260.01
O0000008,C00003,2023-11-24,377.98
O0000009,C00003,2024-09-14,373.65
O0000010,C00003,2025-02-24,307.44
O0000011,C00004,2024-11-25,228.28
O0000012,C00004,2025-02-07,314.07
O0000013,C00004,2025-02-13,351.84
O0000014,C00004,2025-03-31,151.02
O0000015,C00004,2025-09-15,291.15
O0000016,C00005,2023-07-11,318.44
O0000017,C00005,2024-03-15,229.01
O0000018,C00005,2024-09-28,197.14
O0000019,C00005,2025-05-09,191.98
O0000020,C00006,2023-04-22,154.99
O0000021,C00006,2023-08-12,255.23
O0000022,C00006,2024-06-18,235.73
O0000023,C00007,2024-11-13,134.18
O0000024,C00007,2025-04-04,254.15
O0000025,C00007,2025-06-28,191.57
O0000026,C00007,2025-11-21,252.2
O0000027,C00008,2025-02-18,146.91
O0000028,C00009,2024-05-13,354.12
O0000029,C00010,2025-12-22,365.84
O0000030,C00011,2023-02-22,174.6
O0000031,C00011,2023-06-27,183.79
O0000032,C00011,2024-04-17,303.32
O0000033,C00011,2025-01-02,139.09
O0000034,C00011,2025-12-12,297.73
O0000035,C00012,2023-08-30,303.53
O0000036,C00013,2024-04-28,209.1
O0000037,C00014,2023-03-23,305.41
O0000038,C00014,2023-09-30,268.09
O0000039,C00014,2024-07-23,219.04
O0000040,C00014,2024-08-30,162.39
O0000041,C00014,2024-11-05,202.12
O0000042,C00014,2025-12-24,287.21
O0000043,C00015,2023-02-07,258.78
O0000044,C00015,2023-03-04,107.18
O0000045,C00015,2024-01-03,261.98
O0000046,C00015,2025-02-24,-117.87
O0000047,C00016,2025-06-25,279.09
O0000048,C00017,2023-02-10,360.92
O0000049,C00018,2023-07-14,300.21
O0000050,C00019,2025-03-23,216.16
O0000051,C00020,2025-01-02,152.31
O0000052,C00021,2025-06-02,246.49
O0000053,C00022,2025-07-08,175.52
O0000054,C00023,2023-06-24,188.44
O0000055,C00024,2025-02-15,268.82
O0000056,C00025,2024-07-21,219.27
O0000057,C00025,2025-11-10,299.09
O0000058,C00026,2025-01-22,242.51
O0000059,C00027,2023-07-15,183.09
O0000060,C00027,2024-04-21,146.44
O0000061,C00027,2024-09-16,209.2
O0000062,C00028,2023-02-13,113.94
O0000063,C00028,2023-02-25,217.35
O0000064,C00028,2023-06-04,207.68
O0000065,C00028,2023-09-20,247.62
O0000066,C00028,2025-01-03,275.23
O0000067,C00028,2025-09-13,-194.7
O0000068,C00029,2023-01-05,233.5
O0000069,C00029,2023-09-03,234.99
O0000070,C00030,2023-09-18,353.71
O0000071,C00030,2024-02-09,144.52
O0000072,C00030,2024-05-21,178.95
O0000073,C00030,2025-07-24,272.33
O0000074,C00031,2023-10-23,167.97
O0000075,C00031,2023-12-28,342.94
O0000076,C00031,2024-04-01,117.34
O0000077,C00031,2025-01-19,346.43
O0000078,C00031,2025-03-31,264.45
O0000079,C00032,2024-03-18,241.6
O0000080,C00032,2025-09-08,166.7
O0000081,C00033,2023-09-09,315.52
O0000082,C00033,2025-06-18,216.22
O0000083,C00034,2023-03-26,250.24
O0000084,C00035,2024-07-25,-263.07
O0000085,C00036,2025-06-19,185.37
O0000086,C00037,2024-11-14,177.21
O0000087,C00037,2024-12-07,313.31
O0000088,C00038,2024-01-14,107.31
O0000089,C00038,2024-04-19,244.39
O0000090,C00038,2024-06-04,313.17
O0000091,C00038,2024-06-09,189.9
O0000092,C00038,2025-05-08,189.15
O0000093,C00038,2025-12-20,290.44
O0000094,C00039,2024-03-07,305.33
O0000095,C00040,2024-02-21,276.96
O0000096,C00040,2024-03-18,203.07
O0000097,C00040,2024-06-17,250.88
O0000098,C00040,2024-06-25,270.82
O0000099,C00040,2025-03-28,280.05
O0000100,C00041,2023-01-26,269.41
O0000101,C00042,2024-09-12,-192.07
O0000102,C00043,2025-08-27,101.3
O0000103,C00044,2024-03-21,219.82
O0000104,C00044,2025-07-09,173.82
O0000105,C00044,2025-09-20,234.68
O0000106,C00045,2024-01-01,344.69
O0000107,C00045,2024-05-26,164.46
O0000108,C00045,2024-06-10,119.32
O0000109,C00045,2025-11-19,260.94
O0000110,C00046,2023-01-24,266.56
O0000111,C00046,2023-07-17,-187.8
O0000112,C00046,2023-10-08,231.56
O0000113,C00046,2025-03-31,169.72
O0000114,C00046,2025-04-03,189.41
O0000115,C00046,2025-04-04,173.37
O0000116,C00047,2023-08-18,299.46
O0000117,C00047,2023-09-19,207.58
O0000118,C00047,2023-10-29,363.16
O0000119,C00047,2024-03-13,262.63
O0000120,C00047,2024-06-05,219.9
O0000121,C00048,2025-03-08,243.44
O0000122,C00049,2024-06-19,221.89
O0000123,C00050,2023-07-13,314.08
O0000124,C00050,2024-10-13,359.96
O0000125,C00050,2025-01-14,209.45
O0000126,C00050,2025-08-20,262.27
O0000127,C00050,2025-11-20,269.44
O0000128,C00051,2023-05-08,181.11
O0000129,C00051,2023-10-11,129.76
O0000130,C00051,2024-01-09,206.98
O0000131,C00051,2025-06-28,255.84
O0000132,C00052,2023-03-03,292.09
O0000133,C00052,2023-03-17,216.1
O0000134,C00052,2024-03-16,168.06
O0000135,C00052,2024-06-06,281.73
O0000136,C00052,2024-10-26,374.35
O0000137,C00053,2024-03-13,273.04
O0000138,C00053,2025-01-25,132.14
O0000139,C00053,2025-06-18,-158.42
O0000140,C00053,2025-09-26,197.69
O0000141,C00053,2025-12-06,344.99
O0000142,C00054,2024-03-16,346.48
O0000143,C00054,2024-06-19,209.1
O0000144,C00054,2025-01-02,141.59
O0000145,C00054,2025-04-02,307.43
O0000146,C00054,2025-05-03,290.43
O0000147,C00054,2025-06-24,307.19
O0000148,C00055,2024-08-22,207.24
O0000149,C00056,2023-04-22,153.12
O0000150,C00057,2023-03-10,327.82
O0000151,C00057,2023-03-18,246.43
O0000152,C00057,2024-08-10,243.19
O0000153,C00057,2024-11-04,397.68
O0000154,C00057,2025-08-20,181.87
O0000155,C00058,2023-10-22,298.72
O0000156,C00058,2023-11-09,188.96
